"county","direct_estimate","fh_estimate","fitted_value","random_effects","shrinkage_factor","delta"
"Poweshiek",0.145524017467249,0.14290076421873,0.119211954199944,0.0236888100187858,0.90030225977077,0.00262325324851881
"Hancock",0.10389367278173,0.105098338420268,0.119211954199944,-0.0141136157796764,0.921357650662723,-0.00120466563853794
"Clarke",0.086705202312139,0.0919170756481955,0.119211954199944,-0.0272948785517489,0.839667975624114,-0.00521187333605648
"Winnebago",0.127766018857033,0.126900630239454,0.119211954199944,0.0076886760395101,0.898833051622842,0.000865388617578566
"Wayne",0.18125,0.173523101575011,0.119211954199944,0.0543111473750671,0.875449035743457,0.0077268984249885
"Sioux",0.049961627014582,0.051352618169127,0.119211954199944,-0.0678593360308173,0.979913580035199,-0.00139099115454505
"Pocahontas",0.144927536231884,0.14267424835186,0.119211954199944,0.0234622941519152,0.912376555303093,0.00225328788002443
"Mills",0.110493625367767,0.111090247684506,0.119211954199944,-0.00812170651543832,0.931566894501956,-0.000596622316739029
"Woodbury",0.069061359086091,0.0700548426723549,0.119211954199944,-0.0491571115275894,0.98018999407667,-0.00099348358626393
"Cherokee",0.076212068364144,0.0792646654491231,0.119211954199944,-0.0399472887508212,0.929009181637463,-0.00305259708497911
"Muscatine",0.090994010659926,0.0923627380476753,0.119211954199944,-0.026849216152269,0.951494431697044,-0.00136872738774932
"Sac",0.195257502778807,0.189049571853171,0.119211954199944,0.069837617653227,0.918365623739333,0.00620793092563571
"Hardin",0.123031856462834,0.122799534723627,0.119211954199944,0.00358758052368262,0.939181234697013,0.000232321739207036
"Monona",0.155621427059073,0.150540499284085,0.119211954199944,0.0313285450841409,0.860450388978542,0.00508092777498773
"Adams",0.190949776230731,0.174774092146214,0.119211954199944,0.0555621379462697,0.774516654860596,0.016175684084517
"Clayton",0.17190408409066,0.16875061656793,0.119211954199944,0.0495386623679851,0.940152969157427,0.00315346752273049
"Fremont",0.142857142857143,0.14076527449571,0.119211954199944,0.0215533202957656,0.911530908390695,0.00209186836143299
"Monroe",0.192882030861125,0.178971129815246,0.119211954199944,0.0597591756153017,0.811172979908014,0.0139109010458789
"Madison",0.066826448611307,0.0704679232917361,0.119211954199944,-0.0487440309082083,0.930486980329557,-0.00364147468042907
"Chickasaw",0.104349351104875,0.105477051554204,0.119211954199944,-0.0137349026457401,0.92412497042975,-0.00112770044932928
"Osceola",0.1,0.102366943676794,0.119211954199944,-0.0168450105231504,0.876798390618647,-0.00236694367679399
"Franklin",0.134337598018985,0.132318398132607,0.119211954199944,0.0131064439326623,0.866504863493045,0.00201919988637841
"Black Hawk",0.083626926976816,0.083976019420947,0.119211954199944,-0.0352359347789974,0.990189906503595,-0.000349092444130991
"Kossuth",0.126361945256444,0.125927480769115,0.119211954199944,0.0067155265691708,0.939235660031503,0.000434464487328867
"Davis",0.116601887840089,0.117014443870486,0.119211954199944,-0.00219751032945845,0.841936574202748,-0.000412556030396902
"Marion",0.052380952380952,0.0539737790698355,0.119211954199944,-0.0652381751301089,0.976166350263647,-0.00159282668888346
"Webster",0.085072701688555,0.0861293739323893,0.119211954199944,-0.033082580267555,0.969048172818612,-0.00105667224383431
"Taylor",0.173268921095008,0.169268101679658,0.119211954199944,0.0500561474797136,0.925988829097339,0.00400081941535005
"Iowa",0.096765425387334,0.0984338203537314,0.119211954199944,-0.0207781338462129,0.925672473444529,-0.00166839496639744
"Humboldt",0.115165576882514,0.115561198767993,0.119211954199944,-0.00365075543195174,0.902228127917184,-0.000395621885478606
"Benton",0.078752122999911,0.0807299022470578,0.119211954199944,-0.0384820519528865,0.951117461727196,-0.00197777924714682
"Allamakee",0.239124872057318,0.22780466093797,0.119211954199944,0.108592706738025,0.905596400107513,0.0113202111193482
"Jackson",0.147515366183978,0.145217807907559,0.119211954199944,0.0260058537076142,0.918823982150435,0.0022975582764195
"Buena Vista",0.085383502170767,0.0865584025789622,0.119211954199944,-0.0326535516209821,0.965268868726779,-0.00117490040819521
"Harrison",0.108673394763785,0.109267021538234,0.119211954199944,-0.00994493266171047,0.943670975331595,-0.00059362677444888
"Appanoose",0.217352010845007,0.204327384960731,0.119211954199944,0.0851154307607869,0.867285323347823,0.0130246258842758
