geoid,county,perc_corn,perc_soy,perc_corn_soy
19015,Boone,38.59508680351974,29.582335341507676,68.17742214502742
19099,Jasper,32.681542025438176,28.280956335504175,60.96249836094235
19149,Plymouth,37.71556301736393,32.03968338541859,69.75524640278252
19155,Pottawattamie,34.7015361758949,29.14425633690228,63.84579251279718
19173,Taylor,22.742715521137796,22.7999040789064,45.5426196000442
19145,Page,31.22240574327582,31.518403429044227,62.74080917232005
19035,Cherokee,39.664283309000005,35.689204448775655,75.35348775777567
19057,Des Moines,18.191219569848233,15.479509560755494,33.670729130603725
19163,Scott,23.06290640394089,15.488916256157635,38.55182266009852
19111,Lee,11.769816650003676,10.2135931475499,21.983409797553577
19071,Fremont,31.1826890987825,27.80277044968942,58.98545954847192
19095,Iowa,29.24591146152484,24.491741220365757,53.737652681890594
19023,Butler,39.56959815983305,27.055418406611302,66.62501656644434
19063,Emmet,42.706386979258475,32.78797646328053,75.494363442539
19193,Woodbury,32.16731040215727,25.222401319235356,57.38971172139263
19041,Clay,38.65153211388033,34.43836813222225,73.08990024610259
19047,Crawford,41.950240276995856,33.191130214568034,75.14137049156389
19019,Buchanan,45.98396755660696,20.74176410949645,66.72573166610341
19143,Osceola,45.16297846889952,39.332412143210696,84.49539061211021
19033,Cerro Gordo,42.52193606744049,27.841816962973848,70.36375303041434
19073,Greene,42.35353876418515,34.450607043762936,76.80414580794809
19179,Wapello,17.8650409946948,16.896122266530213,34.761163261225015
19087,Henry,24.31598737996533,23.024529349786857,47.34051672975218
19119,Lyon,44.71701231099728,30.259384725550134,74.97639703654741
19003,Adams,26.09119251753702,23.95927833075655,50.05047084829357
19133,Monona,30.30361095884209,25.18417814343904,55.48778910228113
19091,Humboldt,43.80960301618984,37.76636541731352,81.57596843350336
19115,Louisa,17.328576383727267,15.207422823447796,32.53599920717507
19171,Tama,32.75253403225375,29.37502785875389,62.12756189100764
19135,Monroe,9.124089496127583,7.669967557765594,16.794057053893177
19139,Muscatine,23.008377370021307,19.76927535691002,42.77765272693132
19117,Lucas,10.739575671341235,10.560134328538185,21.29970999987942
19079,Hamilton,42.430955105516674,30.232908428027784,72.66386353354446
19069,Franklin,47.78272645882206,30.293860991171705,78.07658744999377
19017,Bremer,39.28382283460241,22.57507334278274,61.85889617738515
19141,O'Brien,45.45631004177728,37.79951085641934,83.25582089819662
19077,Guthrie,24.944285834748776,22.51952156262586,47.46380739737464
19183,Washington,28.197100861225245,23.56051874162574,51.75761960285098
19167,Sioux,43.244779748283754,29.302456775997964,72.54723652428171
19005,Allamakee,12.576659187721525,5.290053002959061,17.866712190680587
19189,Winnebago,44.23990137161273,30.812894114393785,75.05279548600652
19093,Ida,38.047797117395824,29.60675814669229,67.65455526408812
19029,Cass,35.86185967321357,32.21220966362067,68.07406933683424
