"county","direct_estimate","fh_estimate","fitted_value","random_effects","shrinkage_factor","delta"
"Cass",0.076772247360483,0.0758162671029542,0.0679310684243379,0.00788519867861628,0.891871857312993,0.000955980257528855
"Madison",0.052032886586327,0.0535989152616324,0.0679310684243379,-0.0143321531627054,0.90149636661211,-0.00156602867530543
"Wright",0.104855371900826,0.0992719505856899,0.0679310684243379,0.031340882161352,0.848787362537754,0.00558342131513614
"Chickasaw",0.094379127073603,0.090538840869388,0.0679310684243379,0.0226077724450501,0.854798937980964,0.00384028620421506
"Decatur",0.060199714693295,0.0611655252087942,0.0679310684243379,-0.00676554321554364,0.875078731474759,-0.000965810515499231
"Wayne",0.129088378566458,0.108599729132976,0.0679310684243379,0.0406686607086385,0.664984457526513,0.0204886494334817
"Monona",0.101556886227545,0.0968611560006,0.0679310684243379,0.0289300875762621,0.860353426809528,0.00469573022694503
"Pottawattamie",0.017353865079191,0.0176770911786876,0.0679310684243379,-0.0502539772456503,0.993609253218474,-0.000323226099496584
"Muscatine",0.027445626588833,0.0284261989660875,0.0679310684243379,-0.0395048694582504,0.97577963008929,-0.000980572377254459
"Howard",0.107104528868856,0.0997670039736436,0.0679310684243379,0.0318359355493057,0.81269142904532,0.00733752489521239
"Winneshiek",0.069093880515707,0.0690159067722519,0.0679310684243379,0.00108483834791406,0.932943814367062,7.79737434550704e-05
"Clayton",0.108221476510067,0.104443444111222,0.0679310684243379,0.0365123756868843,0.90622997933389,0.00377803239884485
"Appanoose",0.036175710594315,0.0374296401848621,0.0679310684243379,-0.0305014282394757,0.960512818112174,-0.00125392959054713
"Dickinson",0.035257443835322,0.0361477146917407,0.0679310684243379,-0.0317833537325972,0.972752614146214,-0.000890270856418657
"Winnebago",0.047477744807122,0.0484415045757922,0.0679310684243379,-0.0194895638485457,0.952880041077579,-0.000963759768670185
"Allamakee",0.121546149323927,0.114411890435133,0.0679310684243379,0.0464808220107953,0.86693559406998,0.00713425888879381
"Mahaska",0.075164561465931,0.074516870666641,0.0679310684243379,0.00658580224230318,0.910459470194318,0.00064769079928996
"Webster",0.056054066333485,0.0564142341328084,0.0679310684243379,-0.0115168342915295,0.969675192732285,-0.000360167799323366
"Jasper",0.048099729714822,0.0488509210360469,0.0679310684243379,-0.0190801473882909,0.962120997869676,-0.000751191321224934
"Monroe",0.034331227684702,0.0374432624022138,0.0679310684243379,-0.030487806022124,0.90737948011043,-0.00311203471751182
"Bremer",0.049739870723632,0.0503406147543526,0.0679310684243379,-0.0175904536699852,0.966976114459065,-0.000600744030720628
"Poweshiek",0.052771324261533,0.0536861918223843,0.0679310684243379,-0.0142448766019536,0.939651517134706,-0.000914867560851268
"Marshall",0.039368091656993,0.0403968912653666,0.0679310684243379,-0.0275341771589713,0.963981358919504,-0.00102879960837355
"Van Buren",0.074464784362395,0.0732974378659234,0.0679310684243379,0.00536636944158556,0.821334978817783,0.00116734649647157
"Kossuth",0.123756906077348,0.116452164126833,0.0679310684243379,0.0485210957024951,0.86915123430985,0.00730474195051507
"Ringgold",0.145196036191297,0.12391618163398,0.0679310684243379,0.0559851132096424,0.724585990619974,0.0212798545573167
"Harrison",0.060880129589633,0.0613217382043577,0.0679310684243379,-0.00660933021998013,0.937368820652488,-0.000441608614724739
"Jackson",0.065143101238787,0.065381494446519,0.0679310684243379,-0.00254957397781888,0.914492104151187,-0.000238393207731988
"Tama",0.062288507331746,0.0625957926862527,0.0679310684243379,-0.00533527573808515,0.945541510412681,-0.00030728535450672
"Page",0.075234147090435,0.0744414364958556,0.0679310684243379,0.00651036807151771,0.891455284706244,0.000792710594579416
"Dubuque",0.017512557453988,0.0177263147946239,0.0679310684243379,-0.050204753629714,0.995760340071099,-0.000213757340635851
"Polk",0.010852296798402,0.0109163170861395,0.0679310684243379,-0.0570147513381984,0.998878387079577,-6.40202877375071e-05
"Dallas",0.017690631808279,0.0180575988646031,0.0679310684243379,-0.0498734695597347,0.992695782898374,-0.000366967056324146
"Buena Vista",0.061550447993767,0.0617927601237599,0.0679310684243379,-0.00613830830057796,0.962023735367184,-0.000242312129992914
"Boone",0.058956916099773,0.0595406981896804,0.0679310684243379,-0.00839037023465744,0.934948497775167,-0.000583782089907427
"O'Brien",0.09358059914408,0.0901089604024348,0.0679310684243379,0.0221778919780969,0.864650984083185,0.00347163874164522
"Humboldt",0.079991375592928,0.078428593397329,0.0679310684243379,0.0104975249729912,0.870419370439495,0.00156278219559898
"Cerro Gordo",0.031289852432137,0.0321218188295971,0.0679310684243379,-0.0358092495947408,0.977294247067641,-0.00083196639746011
"Lyon",0.102926504822082,0.0981880752433928,0.0679310684243379,0.030257006819055,0.864598642953496,0.00473842957868917
"Mills",0.024831347782403,0.025735941546352,0.0679310684243379,-0.0421951268779858,0.979011609577142,-0.000904593763949045
"Osceola",0.170991350632069,0.142454794142521,0.0679310684243379,0.0745237257181831,0.72310810839787,0.028536556489548
"Linn",0.012719010392869,0.0128413825783799,0.0679310684243379,-0.0550896858459579,0.997783596738213,-0.000122372185510925
"Jones",0.076954109934443,0.0760753911264005,0.0679310684243379,0.0081443227020626,0.902613901636334,0.000878718808042536
"Taylor",0.114206128133705,0.103323062920387,0.0679310684243379,0.0353919944960486,0.76481791095095,0.0108830652133185
"Hancock",0.093134548131787,0.0887670417360131,0.0679310684243379,0.0208359733116752,0.826710182622797,0.00436750639577389
"Iowa",0.057069648264617,0.0576695245203124,0.0679310684243379,-0.0102615439040255,0.944769998133392,-0.000599876255695402
"Fremont",0.114183474300586,0.102303764787714,0.0679310684243379,0.0343726963633766,0.743154776755687,0.0118797095128715
"Louisa",0.070112781954887,0.0699106199125156,0.0679310684243379,0.00197955148817773,0.907337952696054,0.000202162042371404
"Buchanan",0.06981079317737,0.0697041956322565,0.0679310684243379,0.00177312720791867,0.943290875463808,0.000106597545113468
"Warren",0.017844960683638,0.0183818964883849,0.0679310684243379,-0.049549171935953,0.989279745842368,-0.000536935804746855
"Johnson",0.014872356284357,0.0150499002621649,0.0679310684243379,-0.052881168162173,0.996653820444426,-0.000177543977807886
"Montgomery",0.079460580912863,0.0778891469288296,0.0679310684243379,0.00995807850449177,0.863703345167686,0.00157143398403335
